state,party,electoral votes
CA,democrat,55
CO,democrat,9
CT,democrat,7
DC,democrat,3
DE,democrat,3
HI,democrat,4
IL,democrat,20
MA,democrat,11
MD,democrat,10
MN,democrat,10
NH,democrat,4
NJ,democrat,14
NM,democrat,5
NY,democrat,29
OR,democrat,7
RI,democrat,4
VA,democrat,13
VT,democrat,3
WA,democrat,12
AK,republican,3
AL,republican,9
AR,republican,6
ID,republican,4
IN,republican,11
KS,republican,6
KY,republican,8
LA,republican,8
MO,republican,10
MS,republican,6
MT,republican,3
ND,republican,3
NE,republican,5
OK,republican,7
SC,republican,9
SD,republican,3
TN,republican,11
UT,republican,6
WV,republican,5
WY,republican,3
AZ,unsure,11
FL,unsure,29
GA,unsure,16
IA,unsure,6
ME,unsure,4
MI,unsure,16
NC,unsure,15
NV,unsure,6
OH,unsure,18
PA,unsure,20
TX,unsure,38
WI,unsure,10
