Year,Race,"Rate (per 100,000 females)"
2010,All,46.2
2010,White,46.2
2010,Black,53.2
2010,Hispanic,36.2
2010,Asian,31.8
2011,Black,51.1
2011,All,43.7
2011,White,43.4
2011,Hispanic,34.9
2011,Asian,32.7
2012,Hispanic,39.0
2012,White,44.9
2012,Black,49.9
2012,All,44.3
2012,Asian,25.6
2013,All,45.9
2013,White,44.8
2013,Black,55.8
2013,Hispanic,39.1
2013,Asian,31.6
2014,All,44.4
2014,White,44.1
2014,Black,49.4
2014,Hispanic,39.7
2014,Asian,34.2
2015,All,44.8
2015,White,43.9
2015,Black,52.6
2015,Hispanic,37.0
2015,Asian,33.6
2016,All,42.0
2016,White,41.7
2016,Black,49.6
2016,Hispanic,35.9
2016,Asian,30.1
2017,All,
2017,White,
2017,Black,
2017,Hispanic,
2017,Asian,
2018,All,
2018,White,
2018,Black,
2018,Hispanic,
2018,Asian,
2019,All,
2019,White,
2019,Black,
2019,Hispanic,
2019,Asian,
2020,Hispanic,
2020,Asian,
2020,White,
2020,Black,
2020,All,
Target,All,43.7
Target,White,43.3
Target,Hispanic,35.7
Target,Black,48.9
Target,Asian,30.1
