Year,Severe Storm Count,Severe Storm Count Rank,Severe Storm Costs (Billions),Severe Storm Costs Rank,Severe Storm Deaths,Severe Storm Deaths Rank
2022,8,6,10,18,7,19
2021,11,2,21.6,4,113,3
2020,13,1,37.8,2,81,5
2019,8,6,15.6,7,12,16
2018,9,5,14.6,8,8,18
2017,10,3,21.9,3,34,12
2016,8,6,17.8,6,19,15
2015,6,11,10.1,17,10,17
2014,6,11,13.7,9,35,11
2013,7,9,13.5,10,40,10
2012,7,9,20.8,5,50,8
2011,10,3,41.6,1,550,1
2010,4,16,12.1,13,5,21
2009,6,11,11,15,23,14
2008,6,11,12.3,12,89,4
2007,1,38,3.5,24,0,43
2006,5,15,10.2,16,48,9
2005,1,38,1.3,37,0,43
2004,2,20,2.7,27,4,22
2003,4,16,12.8,11,61,7
2002,2,20,4.6,22,7,19
2001,2,20,6.2,21,3,23
2000,1,38,1.2,38,0,43
1999,1,38,3.5,24,0,43
1998,3,19,6.7,19,133,2
1997,1,38,1.8,30,0,43
1996,0,43,0,43,0,43
1995,2,20,11.6,14,0,43
1994,1,38,2,28,0,43
1993,1,38,1.3,37,0,43
1992,4,16,6.7,19,0,43
1991,1,38,1.4,33,0,43
1990,1,38,1.8,30,0,43
1989,1,38,1.3,37,0,43
1988,0,43,0,43,0,43
1987,0,43,0,43,0,43
1986,1,38,1.4,33,0,43
1985,1,38,1.6,31,0,43
1984,2,20,3,26,80,6
1983,0,43,0,43,0,43
1982,2,20,3,26,33,13
1981,1,38,1.3,37,0,43
